time_sec;F_signal;F_signal_DNA
49800;199.6238701;198.6540361
49860;199.5004423;198.8702272
49920;199.8923796;198.9074214
49980;200.0547846;199.4653339
50040;199.7927712;198.8214099
50100;200.7130661;199.5490207
50160;199.6087123;199.0213285
50220;199.7581249;198.7749172
50280;199.8144252;199.2537921
50340;200.6849159;199.5327483
50400;199.8122598;198.540129
50460;200.024469;199.0166793
50520;199.7884404;199.1654559
50580;200.1132504;198.9934329
50640;199.786275;198.9957575
50700;200.1782124;200.2464113
50760;199.6650127;199.6420062
50820;200.511684;199.8930668
50880;200.349279;199.5071773
50940;200.3341212;199.6327076
51000;200.327625;199.8117045
51060;200.4770376;199.10734
51120;200.0006496;199.4606846
51180;199.7884404;199.8210031
51240;200.9014559;199.7954321
51300;199.9248606;199.5048527
51360;200.4532182;199.7163945
51420;200.6589311;200.0720637
51480;200.2431744;199.4792817
51540;200.27349;199.4816063
51600;199.8035982;199.5676178
51660;200.3297904;199.3909455
51720;200.1305736;199.5164759
51780;199.6043815;199.4769571
51840;200.5614881;199.8884175
51900;199.6823359;199.0724705
51960;200.2973094;199.8233277
52020;200.0829348;199.4630092
52080;200.4510528;199.8837682
52140;201.0032297;199.9279363
52200;200.3557752;199.8628465
52260;200.544165;199.879119
52320;200.7195623;200.5648864
52380;200.8126745;199.923287
52440;200.9252753;199.8070553
52500;201.0400415;199.7861336
52560;200.4878646;199.6908235
52620;200.6957429;200.7066891
52680;200.8906289;200.2371128
52740;199.9789956;199.8210031
52800;200.3081364;199.9325856
52860;200.2799862;200.4370314
52920;199.5783967;200.0743883
52980;200.1630546;200.146452
53040;200.414241;200.6741442
53100;200.7325547;200.0371942
53160;200.035296;199.6373569
53220;200.1522276;200.0371942
53280;200.3232942;200.2022433
53340;200.4813684;199.2491428
53400;199.9551762;199.8907421
53460;200.3730984;199.5397222
53520;200.3081364;199.90469
53580;200.2128588;199.6420062
53640;200.1349044;200.3091765
53700;200.002815;199.8465741
53760;200.0742732;199.6187598
53820;199.94868;199.6652525
53880;200.2475052;200.3417214
53940;199.8100944;199.90469
54000;199.9963188;199.655954
54060;200.4943608;200.1046086
54120;199.7343055;199.6001627
54180;199.9226952;199.9558319
54240;200.0872656;199.2491428
54300;199.2167749;199.1887023
54360;200.3471136;199.7931075
54420;200.5030224;200.1929447
54480;200.8538171;199.9395595
54540;200.3860908;199.6141105
54600;200.0742732;199.5815656
54660;200.511684;199.8558726
54720;200.6329463;200.2464113
54780;200.1478968;200.1069332
54840;199.3965031;199.8000814
54900;200.4705414;200.0604405
54960;199.8035982;199.3955948
55020;200.067777;199.3095833
55080;200.4532182;199.4351136
55140;200.2648284;199.3839716
55200;200.3254596;200.1650491
55260;200.425068;199.1933515
55320;200.0764386;199.9790783
55380;200.0851002;199.9163131
55440;200.0764386;199.9116639
55500;199.927026;200.0278956
55560;199.9854918;199.6722264
55620;200.0851002;199.0980415
55680;199.905372;199.8605219
55740;200.349279;199.0678212
55800;200.349279;200.0092985
